,hour,rentals
187,2023-01-08 19:00:00,224
188,2023-01-08 20:00:00,140
189,2023-01-08 21:00:00,107
190,2023-01-08 22:00:00,74
191,2023-01-08 23:00:00,59
192,2023-01-09 00:00:00,15
193,2023-01-09 01:00:00,11
194,2023-01-09 02:00:00,8
195,2023-01-09 03:00:00,7
196,2023-01-09 04:00:00,7
197,2023-01-09 05:00:00,49
198,2023-01-09 06:00:00,172
199,2023-01-09 07:00:00,374
200,2023-01-09 08:00:00,576
201,2023-01-09 09:00:00,347
202,2023-01-09 10:00:00,203
203,2023-01-09 11:00:00,242
204,2023-01-09 12:00:00,334
205,2023-01-09 13:00:00,313
206,2023-01-09 14:00:00,348
207,2023-01-09 15:00:00,441
208,2023-01-09 16:00:00,531
209,2023-01-09 17:00:00,733
210,2023-01-09 18:00:00,655
211,2023-01-09 19:00:00,475
212,2023-01-09 20:00:00,243
213,2023-01-09 21:00:00,222
214,2023-01-09 22:00:00,143
215,2023-01-09 23:00:00,71
216,2023-01-10 00:00:00,28
217,2023-01-10 01:00:00,16
218,2023-01-10 02:00:00,8
219,2023-01-10 03:00:00,4
220,2023-01-10 04:00:00,8
221,2023-01-10 05:00:00,78
222,2023-01-10 06:00:00,183
223,2023-01-10 07:00:00,441
224,2023-01-10 08:00:00,753
225,2023-01-10 09:00:00,409
226,2023-01-10 10:00:00,251
227,2023-01-10 11:00:00,267
228,2023-01-10 12:00:00,321
229,2023-01-10 13:00:00,294
230,2023-01-10 14:00:00,320
231,2023-01-10 15:00:00,428
232,2023-01-10 16:00:00,598
233,2023-01-10 17:00:00,888
234,2023-01-10 18:00:00,704
235,2023-01-10 19:00:00,500
236,2023-01-10 20:00:00,311
237,2023-01-10 21:00:00,232
238,2023-01-10 22:00:00,171
239,2023-01-10 23:00:00,90
240,2023-01-11 00:00:00,36
241,2023-01-11 01:00:00,6
242,2023-01-11 02:00:00,4
243,2023-01-11 03:00:00,6
244,2023-01-11 04:00:00,9
245,2023-01-11 05:00:00,71
246,2023-01-11 06:00:00,185
247,2023-01-11 07:00:00,414
248,2023-01-11 08:00:00,778
249,2023-01-11 09:00:00,452
250,2023-01-11 10:00:00,258
251,2023-01-11 11:00:00,237
252,2023-01-11 12:00:00,318
253,2023-01-11 13:00:00,303
254,2023-01-11 14:00:00,325
255,2023-01-11 15:00:00,397
256,2023-01-11 16:00:00,541
257,2023-01-11 17:00:00,858
258,2023-01-11 18:00:00,735
259,2023-01-11 19:00:00,488
260,2023-01-11 20:00:00,288
261,2023-01-11 21:00:00,259
262,2023-01-11 22:00:00,112
263,2023-01-11 23:00:00,75
264,2023-01-12 00:00:00,30
265,2023-01-12 01:00:00,12
266,2023-01-12 02:00:00,10
267,2023-01-12 03:00:00,11
268,2023-01-12 04:00:00,12
269,2023-01-12 05:00:00,64
270,2023-01-12 06:00:00,157
271,2023-01-12 07:00:00,384
272,2023-01-12 08:00:00,694
273,2023-01-12 09:00:00,421
274,2023-01-12 10:00:00,224
275,2023-01-12 11:00:00,303
276,2023-01-12 12:00:00,350
277,2023-01-12 13:00:00,382
278,2023-01-12 14:00:00,298
279,2023-01-12 15:00:00,356
280,2023-01-12 16:00:00,497
281,2023-01-12 17:00:00,810
282,2023-01-12 18:00:00,621
283,2023-01-12 19:00:00,449
284,2023-01-12 20:00:00,273
285,2023-01-12 21:00:00,162
286,2023-01-12 22:00:00,80
287,2023-01-12 23:00:00,55
288,2023-01-13 00:00:00,25
289,2023-01-13 01:00:00,29
290,2023-01-13 02:00:00,8
291,2023-01-13 03:00:00,10
292,2023-01-13 04:00:00,11
293,2023-01-13 05:00:00,38
294,2023-01-13 06:00:00,78
295,2023-01-13 07:00:00,240
296,2023-01-13 08:00:00,427
297,2023-01-13 09:00:00,382
298,2023-01-13 10:00:00,269
299,2023-01-13 11:00:00,331
300,2023-01-13 12:00:00,456
301,2023-01-13 13:00:00,405
302,2023-01-13 14:00:00,470
303,2023-01-13 15:00:00,512
304,2023-01-13 16:00:00,546
305,2023-01-13 17:00:00,612
306,2023-01-13 18:00:00,523
307,2023-01-13 19:00:00,393
308,2023-01-13 20:00:00,237
309,2023-01-13 21:00:00,184
310,2023-01-13 22:00:00,145
311,2023-01-13 23:00:00,159
312,2023-01-14 00:00:00,119
313,2023-01-14 01:00:00,73
314,2023-01-14 02:00:00,53
315,2023-01-14 03:00:00,22
316,2023-01-14 04:00:00,12
317,2023-01-14 05:00:00,16
318,2023-01-14 06:00:00,38
319,2023-01-14 07:00:00,96
320,2023-01-14 08:00:00,163
321,2023-01-14 09:00:00,271
322,2023-01-14 10:00:00,339
323,2023-01-14 11:00:00,354
324,2023-01-14 12:00:00,424
325,2023-01-14 13:00:00,377
326,2023-01-14 14:00:00,419
327,2023-01-14 15:00:00,413
328,2023-01-14 16:00:00,362
329,2023-01-14 17:00:00,290
330,2023-01-14 18:00:00,266
331,2023-01-14 19:00:00,221
332,2023-01-14 20:00:00,174
333,2023-01-14 21:00:00,129
334,2023-01-14 22:00:00,118
335,2023-01-14 23:00:00,121
336,2023-01-15 00:00:00,88
337,2023-01-15 01:00:00,68
338,2023-01-15 02:00:00,50
339,2023-01-15 03:00:00,21
340,2023-01-15 04:00:00,11
341,2023-01-15 05:00:00,15
342,2023-01-15 06:00:00,21
343,2023-01-15 07:00:00,60
344,2023-01-15 08:00:00,123
345,2023-01-15 09:00:00,229
346,2023-01-15 10:00:00,378
347,2023-01-15 11:00:00,411
348,2023-01-15 12:00:00,496
349,2023-01-15 13:00:00,456
350,2023-01-15 14:00:00,476
351,2023-01-15 15:00:00,539
352,2023-01-15 16:00:00,463
353,2023-01-15 17:00:00,372
354,2023-01-15 18:00:00,294
355,2023-01-15 19:00:00,213
356,2023-01-15 20:00:00,178
357,2023-01-15 21:00:00,135
358,2023-01-15 22:00:00,106
359,2023-01-15 23:00:00,105
360,2023-01-16 00:00:00,50
361,2023-01-16 01:00:00,32
362,2023-01-16 02:00:00,12
363,2023-01-16 03:00:00,6
364,2023-01-16 04:00:00,7
365,2023-01-16 05:00:00,29
366,2023-01-16 06:00:00,54
367,2023-01-16 07:00:00,96
368,2023-01-16 08:00:00,147
369,2023-01-16 09:00:00,224
370,2023-01-16 10:00:00,355
371,2023-01-16 11:00:00,458
372,2023-01-16 12:00:00,552
373,2023-01-16 13:00:00,571
374,2023-01-16 14:00:00,678
375,2023-01-16 15:00:00,640
376,2023-01-16 16:00:00,674
377,2023-01-16 17:00:00,574
378,2023-01-16 18:00:00,382
379,2023-01-16 19:00:00,322
380,2023-01-16 20:00:00,211
381,2023-01-16 21:00:00,163
382,2023-01-16 22:00:00,114
383,2023-01-16 23:00:00,70
384,2023-01-17 00:00:00,26
385,2023-01-17 01:00:00,10
386,2023-01-17 02:00:00,10
387,2023-01-17 03:00:00,5
388,2023-01-17 04:00:00,12
389,2023-01-17 05:00:00,62
390,2023-01-17 06:00:00,168
391,2023-01-17 07:00:00,327
392,2023-01-17 08:00:00,475
393,2023-01-17 09:00:00,252
394,2023-01-17 10:00:00,138
395,2023-01-17 11:00:00,122
396,2023-01-17 12:00:00,157
397,2023-01-17 13:00:00,223
398,2023-01-17 14:00:00,225
399,2023-01-17 15:00:00,352
400,2023-01-17 16:00:00,544
401,2023-01-17 17:00:00,809
402,2023-01-17 18:00:00,702
403,2023-01-17 19:00:00,494
404,2023-01-17 20:00:00,293
405,2023-01-17 21:00:00,280
406,2023-01-17 22:00:00,161
407,2023-01-17 23:00:00,70
408,2023-01-18 00:00:00,30
409,2023-01-18 01:00:00,10
410,2023-01-18 02:00:00,7
411,2023-01-18 03:00:00,6
412,2023-01-18 04:00:00,17
413,2023-01-18 05:00:00,70
414,2023-01-18 06:00:00,190
415,2023-01-18 07:00:00,485
416,2023-01-18 08:00:00,765
417,2023-01-18 09:00:00,433
418,2023-01-18 10:00:00,286
419,2023-01-18 11:00:00,278
420,2023-01-18 12:00:00,378
421,2023-01-18 13:00:00,375
422,2023-01-18 14:00:00,398
423,2023-01-18 15:00:00,492
424,2023-01-18 16:00:00,679
425,2023-01-18 17:00:00,976
426,2023-01-18 18:00:00,834
427,2023-01-18 19:00:00,591
428,2023-01-18 20:00:00,355
429,2023-01-18 21:00:00,271
430,2023-01-18 22:00:00,194
431,2023-01-18 23:00:00,66
432,2023-01-19 00:00:00,50
433,2023-01-19 01:00:00,17
434,2023-01-19 02:00:00,11
435,2023-01-19 03:00:00,6
436,2023-01-19 04:00:00,13
437,2023-01-19 05:00:00,74
438,2023-01-19 06:00:00,179
439,2023-01-19 07:00:00,358
440,2023-01-19 08:00:00,616
441,2023-01-19 09:00:00,423
442,2023-01-19 10:00:00,250
443,2023-01-19 11:00:00,254
444,2023-01-19 12:00:00,280
445,2023-01-19 13:00:00,263
446,2023-01-19 14:00:00,205
447,2023-01-19 15:00:00,296
448,2023-01-19 16:00:00,396
449,2023-01-19 17:00:00,634
450,2023-01-19 18:00:00,409
451,2023-01-19 19:00:00,332
452,2023-01-19 20:00:00,280
453,2023-01-19 21:00:00,245
454,2023-01-19 22:00:00,184
455,2023-01-19 23:00:00,81
456,2023-01-20 00:00:00,62
457,2023-01-20 01:00:00,37
458,2023-01-20 02:00:00,15
459,2023-01-20 03:00:00,12
460,2023-01-20 04:00:00,19
461,2023-01-20 05:00:00,59
462,2023-01-20 06:00:00,146
463,2023-01-20 07:00:00,361
464,2023-01-20 08:00:00,578
465,2023-01-20 09:00:00,392
466,2023-01-20 10:00:00,286
467,2023-01-20 11:00:00,361
468,2023-01-20 12:00:00,429
469,2023-01-20 13:00:00,369
470,2023-01-20 14:00:00,436
471,2023-01-20 15:00:00,508
472,2023-01-20 16:00:00,605
473,2023-01-20 17:00:00,762
474,2023-01-20 18:00:00,622
475,2023-01-20 19:00:00,458
476,2023-01-20 20:00:00,267
477,2023-01-20 21:00:00,209
478,2023-01-20 22:00:00,217
479,2023-01-20 23:00:00,184
480,2023-01-21 00:00:00,114
481,2023-01-21 01:00:00,114
482,2023-01-21 02:00:00,43
483,2023-01-21 03:00:00,20
484,2023-01-21 04:00:00,10
485,2023-01-21 05:00:00,15
486,2023-01-21 06:00:00,50
487,2023-01-21 07:00:00,103
488,2023-01-21 08:00:00,202
489,2023-01-21 09:00:00,346
490,2023-01-21 10:00:00,469
491,2023-01-21 11:00:00,527
492,2023-01-21 12:00:00,640
493,2023-01-21 13:00:00,589
494,2023-01-21 14:00:00,582
495,2023-01-21 15:00:00,623
496,2023-01-21 16:00:00,534
497,2023-01-21 17:00:00,491
498,2023-01-21 18:00:00,346
499,2023-01-21 19:00:00,338
